State/UTs,Pre-Primary  - Boys,Pre-Primary  - Girls,Pre-Primary  - Total,Class I - Boys,Class I - Girls,Class I - Total,Class II - Boys,Class II - Girls,Class II - Total,Class III - Boys,Class III - Girls,Class III - Total,Class IV - Boys,Class IV - Girls,Class IV  - Total,Class V  - Boys,Class V  - Girls,Class V  - Total,TOTAL (Class I - V) - Boys,TOTAL (Class I - V) - Girls,TOTAL (Class I - V) - Total,Class VI  - Boys,Class VI  - Girls,Class VI  - Total,Class VII - Boys,Class VII  - Girls,Class VII  - Total,Class VIII  - Boys,Class VIII  - Girls,Class VIII  - Total,TOTAL (Class VI - VIII) - Boys,TOTAL (Class VI - VIII) - Girls,(Class VI - VIII) - Total,TOTAL (Class I - VIII) - Boys,TOTAL (Class I - VIII) - Girls,Class I - VIII - Total,Class IX  - Boys,Class IX  - Girls,Class IX  - Total,Class X  - Boys,Class X  - Girls,Class X  - Total,TOTAL (Class IX-X)  - Boys,TOTAL (Class IX-X) - Girls,(Class IX-X) - TOTAL,TOTAL (Class I-X) - Boys,TOTAL (Class I-X) - Girls,Class I-X - TOTAL,Class XI  - Boys,Class XI  - Girls,Class XI  - Total,Class XII  - Boys,Class XII  - Girls,Class XII  - Total,TOTAL (Class XI- XII) - Boys,TOTAL (Class XI- XII) - Girls,(Class XI- XII) - TOTAL,TOTAL (Class I- XII) - Boys,TOTAL (Class I- XII) - Girls,(Class I- XII)  - Total,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Boys,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Girls,Grand Total (Pre-Primary to XII +  Pre-Primary to Class XII) - Total
Sikkim,13911,12474,26385,8004,7573,15577,8671,8054,16725,8960,8214,17174,8723,8548,17271,7006,7419,14425,41364,39808,81172,5944,7001,12945,4815,5665,10480,4391,5359,9750,15150,18025,33175,56514,57833,114347,3425,3950,7375,2458,2756,5214,5883,6706,12589,62397,64539,126936,2142,2177,4319,1935,2162,4097,4077,4339,8416,66474,68878,135352,80385,81352,161737
Tamil Nadu,401159,382958,784117,620939,586200,1207139,613001,581625,1194626,619382,588804,1208186,634892,600495,1235387,652212,612669,1264881,3140426,2969793,6110219,647278,609602,1256880,624319,582628,1206947,633095,590123,1223218,1904692,1782353,3687045,5045118,4752146,9797264,526648,491677,1018325,423837,431827,855664,950485,923504,1873989,5995603,5675650,11671253,271478,312618,584096,272336,327800,600136,543814,640418,1184232,6539417,6316068,12855485,6940576,6699026,13639602
Tripura,3737,3109,6846,41341,39426,80767,40352,39538,79890,39797,38255,78052,40365,38229,78594,39492,37623,77115,201347,193071,394418,42629,40602,83231,36220,35523,71743,30867,29839,60706,109716,105964,215680,311063,299035,610098,32441,32263,64704,25438,23823,49261,57879,56086,113965,368942,355121,724063,14374,10541,24915,11302,8256,19558,25676,18797,44473,394618,373918,768536,398355,377027,775382
Uttar Pradesh,0,0,0,3367366,3132115,6499481,3042288,2958338,6000626,3034306,2937485,5971791,2910866,2680299,5591165,2578512,2193730,4772242,14933338,13901967,28835305,2038694,1743676,3782370,1934697,1561288,3495985,1857479,1584759,3442238,5830870,4889723,10720593,20764208,18791690,39555898,1773798,1305798,3079596,1726198,1270755,2996953,3499996,2576553,6076549,24264204,21368243,45632447,965026,663937,1628963,939129,646120,1585249,1904155,1310057,3214212,26168359,22678300,48846659,26168359,22678300,48846659
Uttarakhand,0,0,0,132814,128133,260947,114784,103943,218727,110060,100005,210065,105809,98368,204177,103714,96518,200232,567181,526967,1094148,107549,104559,212108,107501,103194,210695,103049,102120,205169,318099,309873,627972,885280,836840,1722120,94853,84147,179000,93981,81124,175105,188834,165271,354105,1074114,1002111,2076225,63517,59490,123007,64987,55551,120538,128504,115041,243545,1202618,1117152,2319770,1202618,1117152,2319770
West Bengal ,0,0,0,804980,779205,1584185,693281,693590,1386871,682143,671318,1353461,688599,682419,1371018,777366,778641,1556007,3646369,3605173,7251542,778606,796197,1574803,747344,764720,1512064,709353,716191,1425544,2235303,2277108,4512411,5881672,5882281,11763953,555740,553980,1109720,502944,491997,994941,1058684,1045977,2104661,6940356,6928258,13868614,358005,315149,673154,296039,247359,543398,654044,562508,1216552,7594400,7490766,15085166,7594400,7490766,15085166
A&N Islands,3782,3493,7275,3314,3211,6525,3367,3212,6579,3375,3181,6556,3436,3296,6732,3622,3402,7024,17114,16302,33416,3603,3473,7076,3762,3517,7279,3842,3493,7335,11207,10483,21690,28321,26785,55106,3631,3349,6980,3490,3067,6557,7121,6416,13537,35442,33201,68643,2510,2371,4881,2056,2107,4163,4566,4478,9044,40008,37679,77687,43790,41172,84962
Chandigarh,8887,7456,16343,8255,7414,15669,8720,8107,16827,9507,8118,17625,9846,8322,18168,9858,7841,17699,46186,39802,85988,10060,8172,18232,9108,7240,16348,8757,7071,15828,27925,22483,50408,74111,62285,136396,8781,7439,16220,7170,5999,13169,15951,13438,29389,90062,75723,165785,7848,6094,13942,6458,5856,12314,14306,11950,26256,104368,87673,192041,113255,95129,208384
D&N Haveli,0,0,0,4317,4012,8329,4084,3695,7779,4228,4008,8236,4102,3720,7822,4150,3716,7866,20881,19151,40032,3818,3400,7218,3370,2779,6149,3137,2499,5636,10325,8678,19003,31206,27829,59035,3029,2102,5131,1851,1391,3242,4880,3493,8373,36086,31322,67408,1167,779,1946,815,607,1422,1982,1386,3368,38068,32708,70776,38068,32708,70776
Daman & Diu,1908,1539,3447,1854,1639,3493,1914,1684,3598,1818,1623,3441,1819,1549,3368,1743,1499,3242,9148,7994,17142,1791,1493,3284,1540,1343,2883,1520,1455,2975,4851,4291,9142,13999,12285,26284,1440,1284,2724,1266,1088,2354,2706,2372,5078,16705,14657,31362,897,735,1632,787,721,1508,1684,1456,3140,18389,16113,34502,20297,17652,37949
Delhi,77354,71247,148601,179649,163771,343420,182930,162405,345335,184196,168287,352483,185927,159375,345302,187447,157136,344583,920149,810974,1731123,177237,153091,330328,169081,144064,313145,184251,155225,339476,530569,452380,982949,1450718,1263354,2714072,189909,162648,352557,150995,130290,281285,340904,292938,633842,1791622,1556292,3347914,122393,105239,227632,102954,93364,196318,225347,198603,423950,2016969,1754895,3771864,2094323,1826142,3920465
Lakshadweep ,482,528,1010,556,517,1073,570,506,1076,625,606,1231,641,607,1248,654,654,1308,3046,2890,5936,786,952,1738,537,658,1195,578,568,1146,1901,2178,4079,4947,5068,10015,644,556,1200,491,600,1091,1135,1156,2291,6082,6224,12306,517,545,1062,521,566,1087,1038,1111,2149,7120,7335,14455,7602,7863,15465
Puducherry,20291,18698,38989,11471,10769,22240,11235,10871,22106,11597,10861,22458,11589,10918,22507,11403,11318,22721,57295,54737,112032,12626,11964,24590,12478,11514,23992,12406,11437,23843,37510,34915,72425,94805,89652,184457,12763,11911,24674,9371,9610,18981,22134,21521,43655,116939,111173,228112,6862,7931,14793,5811,6974,12785,12673,14905,27578,129612,126078,255690,149903,144776,294679
India,3317105,2919357,6236462,15967285,14573033,30540318,14430254,13440299,27870553,13928409,12987975,26916384,13397949,12331556,25729505,12744530,11515656,24260186,70468427,64848519,135316946,11532638,10426504,21959142,10861871,9705042,20566913,10413406,9116989,19530395,32807915,29248535,62056450,103276342,94097054,197373396,9172739,7547217,16719956,8280132,6778939,15059071,17452871,14326156,31779027,120729213,108423210,229152423,5670222,4485585,10155807,5177645,4082627,9260272,10847867,8568212,19416079,131577080,116991422,248568502,134894185,119910779,254804964
